Settlement Day,Settlement Period,BSUoS Tariff (£/MWh),BSUoS Fund Tariff (£/MWh),Volume (MWh),BSUoS Recovery (£),BSUoS Fund Recovery (£),BSUoS Total Recovery (£),Run Type,Actual BSUoS Cost (£)
2024-04-01T00:00:00,1,7.63,,11580.86,88361.94,0,88361.94,II,188061.01
2024-04-01T00:00:00,2,7.63,,11410.59,87062.82,0,87062.82,II,183239.57
2024-04-01T00:00:00,3,7.63,,11419.74,87132.64,0,87132.64,II,187482.23
2024-04-01T00:00:00,4,7.63,,11648.70,88879.60,0,88879.60,II,216698.98
2024-04-01T00:00:00,5,7.63,,11494.37,87702.03,0,87702.03,II,209624.08
2024-04-01T00:00:00,6,7.63,,11225.96,85654.11,0,85654.11,II,193890.56
2024-04-01T00:00:00,7,7.63,,11152.01,85089.86,0,85089.86,II,215027.80
2024-04-01T00:00:00,8,7.63,,10986.39,83826.17,0,83826.17,II,218146.58
2024-04-01T00:00:00,9,7.63,,10930.83,83402.22,0,83402.22,II,203770.64
2024-04-01T00:00:00,10,7.63,,10830.18,82634.31,0,82634.31,II,197173.00
2024-04-01T00:00:00,11,7.63,,10885.72,83058.01,0,83058.01,II,158794.80
2024-04-01T00:00:00,12,7.63,,11051.51,84322.98,0,84322.98,II,159661.53
2024-04-01T00:00:00,13,7.63,,11637.90,88797.20,0,88797.20,II,146402.37
2024-04-01T00:00:00,14,7.63,,11877.71,90626.92,0,90626.92,II,127943.77
2024-04-01T00:00:00,15,7.63,,12445.96,94962.69,0,94962.69,II,109316.01
2024-04-01T00:00:00,16,7.63,,12849.59,98042.37,0,98042.37,II,107181.27
2024-04-01T00:00:00,17,7.63,,13378.54,102078.28,0,102078.28,II,101012.70
2024-04-01T00:00:00,18,7.63,,13726.49,104733.08,0,104733.08,II,99218.68
2024-04-01T00:00:00,19,7.63,,14227.20,108553.52,0,108553.52,II,76329.21
2024-04-01T00:00:00,20,7.63,,14578.94,111237.32,0,111237.32,II,78917.30
2024-04-01T00:00:00,21,7.63,,14853.37,113331.19,0,113331.19,II,131400.06
2024-04-01T00:00:00,22,7.63,,15026.23,114650.12,0,114650.12,II,125932.47
