Date-time,Restored date-time,﻿Incident Duration,Customer Affected,Direct Cause,Voltage,Total Customer Minutes Lost,Latitude,Longitude
2025-01-16T05:39:00+00:00,2025-01-16T07:58:00+00:00,136,80,06,LV,6976,54.64056418,-3.399003874
2025-01-07T13:35:00+00:00,2025-01-07T16:56:00+00:00,201,899,06,11,101445,54.7036008,-3.495478894
2025-01-05T07:05:00+00:00,2025-01-05T14:49:00+00:00,464,449,06,6.6,65981,53.79116614,-2.714542204
2025-01-05T06:14:00+00:00,2025-01-05T12:47:00+00:00,393,102,06,11,40705,53.91122613,-2.961410608
2025-01-03T18:56:00+00:00,2025-01-03T23:56:00+00:00,300,44,06,11,7714,54.62929823,-2.975793949
2024-12-31T09:04:00+00:00,2024-12-31T12:32:00+00:00,208,168,06,11,11277,54.51354637,-2.6677145
2024-12-30T23:55:00+00:00,2024-12-31T09:00:00+00:00,545,1,06,LV,545,54.52217726,-2.424218374
2024-12-07T08:32:00+00:00,2024-12-21T16:00:00+00:00,20607,142,06,11,21039,53.61866749,-2.426383136
2024-12-19T10:58:00+00:00,2024-12-19T15:49:00+00:00,291,489,06,11,16629,54.42298422,-2.962980997
2024-12-18T09:06:00+00:00,2024-12-18T13:26:00+00:00,260,6,06,6.6,1560,53.75910778,-2.44764368
2024-12-18T06:00:00+00:00,2024-12-18T10:54:00+00:00,294,1049,06,11,70263,53.91122433,-2.961421954
2024-12-17T22:31:00+00:00,2024-12-18T04:18:00+00:00,347,68,06,11,14808,54.22644696,-2.759123932
2024-12-13T09:30:00+00:00,2024-12-13T12:30:00+00:00,180,1,06,LV,180,53.36682111,-2.199642951
2024-12-13T10:02:00+00:00,2024-12-13T11:56:00+00:00,114,2,06,LV,228,53.59639875,-2.996451796
2024-12-08T01:30:00+00:00,2024-12-13T01:30:00+00:00,875,30,06,LV,14980,53.66304349,-2.712396975
2024-12-07T07:40:00+00:00,2024-12-12T00:00:00+00:00,6740,31,06,11,8533,53.69528655,-2.837933517
2024-12-10T15:58:00+00:00,2024-12-11T01:43:00+00:00,585,373,06,11,1912,53.65095501,-2.815371632
2024-12-07T15:13:00+00:00,2024-12-10T16:20:00+00:00,4387,341,06,11,1152,53.47513246,-2.594977525
2024-12-09T12:08:00+00:00,2024-12-09T22:01:00+00:00,593,66,06,11,18944,54.19684594,-2.917696268
2024-12-07T17:27:00+00:00,2024-12-09T20:21:00+00:00,3024,373,06,11,9132,53.60168454,-2.937082278
2024-12-07T09:29:00+00:00,2024-12-09T13:41:00+00:00,3132,488,06,11,63239,54.24577876,-3.010590425
2024-12-09T09:24:00+00:00,2024-12-09T12:41:00+00:00,197,1,06,LV,197,54.60734541,-3.188937058
2024-12-07T01:29:00+00:00,2024-12-09T02:54:00+00:00,875,382,06,11,62114,53.60168454,-2.937082278
2024-12-08T22:18:00+00:00,2024-12-09T00:36:00+00:00,138,62,06,11,1843,55.01285731,-2.70841975
2024-12-07T05:21:00+00:00,2024-12-09T00:00:00+00:00,2559,1,06,11,654,53.5607205,-2.798522672
2024-12-08T13:36:00+00:00,2024-12-08T23:14:00+00:00,578,71,06,11,33486,53.41315583,-2.097084984
2024-12-07T11:25:00+00:00,2024-12-08T21:45:00+00:00,637,257,06,11,13510,53.5607205,-2.798522672
2024-12-08T04:01:00+00:00,2024-12-08T20:51:00+00:00,1010,16,06,11,16116,54.3778009,-2.899963932
2024-12-08T15:05:00+00:00,2024-12-08T20:20:00+00:00,315,40,06,LV,12600,54.25066821,-2.753278207
2024-12-08T18:36:00+00:00,2024-12-08T19:36:00+00:00,60,10,06,11,600,54.320103,-2.53709823
2024-12-08T18:06:00+00:00,2024-12-08T19:16:00+00:00,70,35,06,11,2450,53.65095501,-2.815371632
2024-12-08T12:26:00+00:00,2024-12-08T18:30:00+00:00,364,32,06,6.6,8240,53.61381923,-2.117423283
2024-12-08T09:48:00+00:00,2024-12-08T16:15:00+00:00,353,368,06,11,10367,53.56675826,-2.888410417
2024-12-07T22:36:00+00:00,2024-12-08T16:07:00+00:00,1051,137,06,11,40473,54.23726946,-3.1353664
2024-12-08T13:59:00+00:00,2024-12-08T15:19:00+00:00,80,3,06,11,240,54.62930496,-2.975795504
2024-12-07T12:16:00+00:00,2024-12-08T14:57:00+00:00,1601,98,06,11,21957,53.60166923,-2.937053528
2024-12-08T08:16:00+00:00,2024-12-08T14:17:00+00:00,361,32,06,11,2624,54.34201978,-2.742642025
2024-12-07T20:10:00+00:00,2024-12-08T14:00:00+00:00,1070,3,06,LV,3210,54.42074449,-3.056836782
2024-12-08T02:08:00+00:00,2024-12-08T12:46:00+00:00,638,146,06,11,23328,54.17667469,-2.743972665
2024-12-08T02:44:00+00:00,2024-12-08T12:46:00+00:00,572,137,06,11,20391,54.12018883,-2.291908082
2024-12-07T23:24:00+00:00,2024-12-08T12:40:00+00:00,796,5,06,LV,3980,54.54913661,-2.466414262
2024-12-07T12:20:00+00:00,2024-12-08T12:34:00+00:00,1453,127,06,11,61865,53.65095501,-2.815371632
2024-12-08T10:51:00+00:00,2024-12-08T12:08:00+00:00,77,367,06,11,28259,53.61866749,-2.426383136
2024-12-08T01:11:00+00:00,2024-12-08T11:13:00+00:00,602,719,06,11,68672,54.37199404,-3.405282357
2024-12-08T07:52:00+00:00,2024-12-08T09:09:00+00:00,77,476,06,11,11152,53.65095501,-2.815371632
2024-12-08T01:18:00+00:00,2024-12-08T03:28:00+00:00,62,282,06,11,25536,53.65095501,-2.815371632
2024-12-08T01:03:00+00:00,2024-12-08T01:21:00+00:00,18,164,06,11,2952,53.6891172,-2.718682944
2024-12-08T00:42:00+00:00,2024-12-08T00:50:00+00:00,4,146,06,11,680,54.3778009,-2.899963932
2024-12-07T18:41:00+00:00,2024-12-08T00:07:00+00:00,326,49,06,11,15974,53.69528817,-2.837922462
2024-12-07T16:03:00+00:00,2024-12-07T22:10:00+00:00,367,7,06,6.6,1883,53.76906422,-2.876692707
2024-12-07T21:59:00+00:00,2024-12-07T22:04:00+00:00,5,652,06,11,1084,53.56675826,-2.888410417
2024-12-07T14:37:00+00:00,2024-12-07T21:33:00+00:00,416,627,06,11,7042,53.88771609,-2.385559826
2024-12-07T16:18:00+00:00,2024-12-07T21:22:00+00:00,304,10,06,11,1618,54.20379423,-2.617215677
2024-12-07T14:32:00+00:00,2024-12-07T21:10:00+00:00,262,2,06,LV,398,53.46716707,-2.615915555
2024-12-07T15:22:00+00:00,2024-12-07T21:06:00+00:00,344,148,06,6.6,10697,53.86105175,-2.167705186
2024-12-07T13:19:00+00:00,2024-12-07T20:52:00+00:00,453,804,06,6.6,7284,53.64147623,-2.103962599
2024-12-07T13:14:00+00:00,2024-12-07T20:44:00+00:00,429,98,06,11,42140,54.34201978,-2.742642025
2024-12-07T12:23:00+00:00,2024-12-07T20:37:00+00:00,477,662,06,11,55978,54.42298422,-2.962980997
2024-12-07T09:07:00+00:00,2024-12-07T18:00:00+00:00,533,539,06,11,91254,53.60168454,-2.937082278
2024-12-07T16:30:00+00:00,2024-12-07T17:25:00+00:00,54,274,06,11,14796,54.20379423,-2.617215677
2024-12-07T11:00:00+00:00,2024-12-07T17:15:00+00:00,375,2241,06,11,118272,54.50339975,-3.528922434
