DNO,Cause,Code,Category,Start date,Start time,Duration (minutes),CML,Population-weight CML,Normalised population-weighted CML,Customers affected,Population-weight customers affected,Normalised population-weighted customers affected,Voltage,Region,Location,Latitude,Longitude,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SSEN,Falling live trees (not felled),23,Trees,2024-04-04,07:01:00,205,54862,3324969.697,0.012076305,267,16181.81818,0.02191404,33,17,ARGYLL,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SSEN,Lightning,1,Lightning,2024-04-05,06:45:00,157,105102,6369818.182,0.023135208,670,40606.06061,0.054990289,33,17,ARGYLL,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SSEN,Wind and Gale (excluding Windborne Material),6,Wind,2024-04-06,09:01:00,213,266314,16140242.42,0.058621432,1249,75696.9697,0.102511747,33,17,HIGH,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SSEN,Wind and Gale (excluding Windborne Material),6,Wind,2024-04-06,20:00:00,362,3260,197575.7576,0.000717596,9,545.4545455,0.000738676,33,17,ARGYLL,,,,,,
SSEN,Wind and Gale (excluding Windborne Material),6,Wind,2024-04-06,20:05:00,200,1200,72727.27273,0.000264146,6,363.6363636,0.00049245,33,17,ARGYLL,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SSEN,Falling live trees (not felled),23,Trees,2024-04-06,14:36:00,0,0,0,0,0,0,0,33,20,SWIN,,,,,,
SSEN,Wind and Gale (excluding Windborne Material),6,Wind,2024-04-06,09:01:00,0,0,0,0,0,0,0,33,17,HIGH,,,,,,
SSEN,Falling live trees (not felled),23,Trees,2024-04-06,12:48:00,0,0,0,0,0,0,0,33,17,HIGH,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
